Profit Ratio,Category,City,Country/Region,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
36%,Office Supplies,Dallas,United States,Linda Southworth,20%,1,7/5/2019,CA-2019-100223,75220,Xerox,Xerox 1966,$11,6,Central,$31,Corporate,7/10/2019,Standard Class,Texas,Paper
13%,Office Supplies,Austin,United States,Cynthia Voltz,20%,1,5/9/2018,US-2018-144057,78745,Other,"Hot File 7-Pocket, Floor Stand",$107,6,Central,$857,Corporate,5/13/2018,Standard Class,Texas,Storage
-19%,Office Supplies,Houston,United States,Darren Budd,20%,1,11/12/2016,US-2016-159618,77036,Acco,Acco Side-Punched Conventional Columnar Pads,-$3,6,Central,$17,Corporate,11/16/2016,Standard Class,Texas,Supplies
10%,Office Supplies,Oak Park,United States,Saphhira Shifley,20%,1,12/15/2019,CA-2019-136063,60302,Newell,Newell 307,$1,7,Central,$10,Corporate,12/19/2019,Standard Class,Illinois,Art
9%,Office Supplies,Corpus Christi,United States,Michael Dominguez,20%,1,12/2/2016,US-2016-117744,78415,Newell,Newell 343,$1,7,Central,$16,Corporate,12/6/2016,Standard Class,Texas,Art
18%,Office Supplies,Grapevine,United States,Muhammed Yedwab,20%,1,4/15/2018,US-2018-132423,76051,Dixon,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",$6,7,Central,$33,Corporate,4/19/2018,Standard Class,Texas,Art
31%,Office Supplies,Houston,United States,Monica Federle,20%,1,11/12/2017,CA-2017-162964,77095,Other,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",$70,7,Central,$224,Corporate,11/18/2017,Standard Class,Texas,Envelopes
33%,Office Supplies,Highland Park,United States,Katharine Harms,20%,1,6/27/2018,CA-2018-153577,60035,Wirebound,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",$12,7,Central,$37,Corporate,7/1/2018,Standard Class,Illinois,Paper
35%,Office Supplies,Austin,United States,Aaron Smayling,20%,1,8/1/2019,CA-2019-162691,78745,Xerox,Xerox 1998,$13,7,Central,$36,Corporate,8/7/2019,Standard Class,Texas,Paper
35%,Office Supplies,Houston,United States,Darren Budd,20%,1,11/12/2016,US-2016-159618,77036,Xerox,Xerox 216,$13,7,Central,$36,Corporate,11/16/2016,Standard Class,Texas,Paper
-4%,Office Supplies,Dallas,United States,Anna Häberlin,20%,1,8/5/2017,CA-2017-112214,75220,Other,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",-$1,7,Central,$33,Corporate,8/11/2017,Standard Class,Texas,Storage
38%,Office Supplies,Dallas,United States,Alejandro Savely,20%,1,5/21/2018,CA-2018-114209,75081,Southworth,Southworth 100% Cotton The Best Paper,$31,9,Central,$83,Corporate,5/26/2018,Standard Class,Texas,Paper
35%,Office Supplies,Arlington,United States,Adam Hart,20%,1,12/17/2018,CA-2018-147109,76017,Xerox,Xerox 214,$18,10,Central,$52,Corporate,12/21/2018,Standard Class,Texas,Paper
31%,Office Supplies,San Antonio,United States,Katrina Edelman,20%,1,6/1/2017,US-2017-163685,78207,Xerox,Xerox 1928,$13,10,Central,$42,Corporate,6/5/2017,Standard Class,Texas,Paper
10%,Office Supplies,Dallas,United States,John Grady,20%,1,10/7/2016,CA-2016-132801,75217,Fellowes,"Fellowes Personal Hanging Folder Files, Navy",$11,10,Central,$107,Corporate,10/12/2016,Standard Class,Texas,Storage
-180%,Office Supplies,Odessa,United States,Jason Gross,80%,1,11/24/2019,CA-2019-103765,79762,Holmes,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-$25,1,Central,$14,Corporate,11/30/2019,Standard Class,Texas,Appliances
-160%,Office Supplies,Chicago,United States,Ken Brennan,80%,1,6/21/2018,CA-2018-168361,60623,Avery,Avery Durable Slant Ring Binders With Label Holder,-$1,1,Central,$1,Corporate,6/25/2018,Standard Class,Illinois,Binders
-175%,Office Supplies,Dallas,United States,Harry Marie,80%,1,7/21/2016,CA-2016-129189,75217,Acco,Acco Economy Flexible Poly Round Ring Binder,-$2,1,Central,$1,Corporate,7/25/2016,Standard Class,Texas,Binders
-160%,Office Supplies,Dallas,United States,Anna Häberlin,80%,1,8/5/2017,CA-2017-112214,75220,Avery,Avery Self-Adhesive Photo Pockets for Polaroid Photos,-$2,1,Central,$1,Corporate,8/11/2017,Standard Class,Texas,Binders
-165%,Office Supplies,Dallas,United States,Linda Southworth,80%,1,7/5/2019,CA-2019-100223,75220,Other,Tuf-Vin Binders,-$10,1,Central,$6,Corporate,7/10/2019,Standard Class,Texas,Binders
-175%,Office Supplies,Huntsville,United States,Craig Molinari,80%,1,10/10/2016,CA-2016-103492,77340,Avery,Avery Non-Stick Binders,-$2,1,Central,$1,Corporate,10/15/2016,Standard Class,Texas,Binders
-165%,Office Supplies,Mcallen,United States,Susan Gilcrest,80%,1,5/18/2019,CA-2019-112536,78501,Avery,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",-$3,1,Central,$2,Corporate,5/23/2019,Standard Class,Texas,Binders
-270%,Office Supplies,Chicago,United States,Jill Stevenson,80%,1,9/2/2019,CA-2019-111220,60653,Belkin,Belkin 7-Outlet SurgeMaster Home Series,-$15,2,Central,$6,Corporate,9/8/2019,Standard Class,Illinois,Appliances
-260%,Office Supplies,Chicago,United States,Thomas Seio,80%,1,12/9/2016,CA-2016-169649,60653,Tripp Lite,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,-$53,2,Central,$20,Corporate,12/15/2016,Standard Class,Illinois,Appliances
-250%,Office Supplies,Dallas,United States,Kean Nguyen,80%,1,7/9/2017,CA-2017-123456,75220,Acco,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",-$122,2,Central,$49,Corporate,7/13/2017,Standard Class,Texas,Appliances
-270%,Office Supplies,Houston,United States,Lisa Ryan,80%,1,9/26/2018,CA-2018-143406,77041,Hoover,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,-$251,2,Central,$93,Corporate,9/30/2018,Standard Class,Texas,Appliances
-225%,Office Supplies,Houston,United States,Dave Hallsten,80%,1,6/24/2018,CA-2018-166240,77095,Holmes,Holmes HEPA Air Purifier,-$20,2,Central,$9,Corporate,6/28/2018,Standard Class,Texas,Appliances
-165%,Office Supplies,Dallas,United States,Alejandro Savely,80%,1,5/21/2018,CA-2018-114209,75081,Pressboard,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-$3,2,Central,$2,Corporate,5/26/2018,Standard Class,Texas,Binders
-150%,Office Supplies,Fort Worth,United States,Brenda Bowman,80%,1,11/21/2017,CA-2017-107083,76106,Storex,Storex DuraTech Recycled Plastic Frosted Binders,-$3,2,Central,$2,Corporate,11/27/2017,Standard Class,Texas,Binders
-170%,Office Supplies,San Antonio,United States,Victoria Brennan,80%,1,11/23/2017,CA-2017-111395,78207,GBC,GBC Recycled Regency Composition Covers,-$41,2,Central,$24,Corporate,11/27/2017,Standard Class,Texas,Binders
-260%,Office Supplies,Chicago,United States,Sibella Parks,80%,1,4/21/2018,US-2018-103646,60623,Kensington,Kensington 4 Outlet MasterPiece Compact Power Control Center,-$127,3,Central,$49,Corporate,4/26/2018,Standard Class,Illinois,Appliances
-260%,Office Supplies,Dallas,United States,Harry Marie,80%,1,7/21/2016,CA-2016-129189,75217,Acco,Acco 6 Outlet Guardian Basic Surge Suppressor,-$13,3,Central,$5,Corporate,7/25/2016,Standard Class,Texas,Appliances
-275%,Office Supplies,Fort Worth,United States,Brenda Bowman,80%,1,11/21/2017,CA-2017-107083,76106,Kensington,Kensington 6 Outlet SmartSocket Surge Protector,-$68,3,Central,$25,Corporate,11/27/2017,Standard Class,Texas,Appliances
-255%,Office Supplies,Mesquite,United States,Saphhira Shifley,80%,1,11/23/2016,CA-2016-120544,75150,Other,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",-$87,3,Central,$34,Corporate,11/27/2016,Standard Class,Texas,Appliances
-155%,Office Supplies,Chicago,United States,Sally Hughsby,80%,1,5/21/2018,CA-2018-125920,60610,Cardinal,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",-$6,3,Central,$4,Corporate,5/28/2018,Standard Class,Illinois,Binders
-175%,Office Supplies,Decatur,United States,Matthew Clasen,80%,1,6/24/2019,US-2019-151316,62521,Ibico,Ibico Hi-Tech Manual Binding System,-$320,3,Central,$183,Corporate,6/30/2019,Standard Class,Illinois,Binders
-170%,Office Supplies,Carrollton,United States,Harry Marie,80%,1,8/4/2019,CA-2019-146367,75007,Avery,Avery Durable Poly Binders,-$6,3,Central,$3,Corporate,8/8/2019,Standard Class,Texas,Binders
-155%,Office Supplies,Houston,United States,Sylvia Foulston,80%,1,9/17/2017,CA-2017-143077,77041,GBC,GBC Imprintable Covers,-$10,3,Central,$7,Corporate,9/21/2017,Standard Class,Texas,Binders
-150%,Office Supplies,Houston,United States,Cari Sayre,80%,1,4/2/2017,CA-2017-136378,77070,Other,Aluminum Screw Posts,-$14,3,Central,$9,Corporate,4/7/2017,Standard Class,Texas,Binders
-270%,Office Supplies,Austin,United States,Cynthia Voltz,80%,1,5/9/2018,US-2018-144057,78745,Euro Pro,Euro Pro Shark Stick Mini Vacuum,-$132,4,Central,$49,Corporate,5/13/2018,Standard Class,Texas,Appliances
-160%,Office Supplies,Arlington,United States,Mary Zewe,80%,1,6/11/2018,CA-2018-169922,76017,Other,Computer Printout Index Tabs,-$2,4,Central,$1,Corporate,6/17/2018,Standard Class,Texas,Binders
-165%,Office Supplies,Arlington,United States,Mary Zewe,80%,1,6/11/2018,CA-2018-169922,76017,GBC,GBC Wire Binding Combs,-$14,4,Central,$8,Corporate,6/17/2018,Standard Class,Texas,Binders
-155%,Office Supplies,Austin,United States,Cynthia Voltz,80%,1,5/9/2018,US-2018-144057,78745,Ibico,Ibico Standard Transparent Covers,-$20,4,Central,$13,Corporate,5/13/2018,Standard Class,Texas,Binders
-165%,Office Supplies,Chicago,United States,Ann Blume,80%,1,11/18/2016,CA-2016-115336,60623,GBC,"GBC White Gloss Covers, Plain Front",-$24,5,Central,$14,Corporate,11/25/2016,Standard Class,Illinois,Binders
-160%,Office Supplies,Chicago,United States,Barry Pond,80%,1,12/19/2018,CA-2018-108364,60623,Wilson Jones,Wilson Jones Easy Flow II Sheet Lifters,-$3,5,Central,$2,Corporate,12/24/2018,Standard Class,Illinois,Binders
-155%,Office Supplies,Chicago,United States,Henry Goldwyn,80%,1,12/7/2019,US-2019-122714,60653,Ibico,Ibico EPK-21 Electric Binding System,"-$2,929",5,Central,"$1,890",Corporate,12/13/2019,Standard Class,Illinois,Binders
-160%,Office Supplies,Peoria,United States,Lori Olson,80%,1,12/28/2019,CA-2019-163860,61604,Other,Computer Printout Index Tabs,-$3,5,Central,$2,Corporate,1/1/2020,Standard Class,Illinois,Binders
-150%,Office Supplies,Dallas,United States,David Bremer,80%,1,1/12/2019,US-2019-148551,75217,GBC,GBC Ibimaster 500 Manual ProClick Binding System,"-$1,141",5,Central,$761,Corporate,1/16/2019,Standard Class,Texas,Binders
-165%,Office Supplies,Fort Worth,United States,Brenda Bowman,80%,1,11/21/2017,CA-2017-107083,76106,Cardinal,Cardinal Hold-It CD Pocket,-$13,5,Central,$8,Corporate,11/27/2017,Standard Class,Texas,Binders
-150%,Office Supplies,Houston,United States,Odella Nelson,80%,1,5/17/2017,US-2017-117184,77095,GBC,GBC Twin Loop Wire Binding Elements,-$50,5,Central,$33,Corporate,5/21/2017,Standard Class,Texas,Binders
-155%,Office Supplies,Houston,United States,Rachel Payne,80%,1,8/6/2017,CA-2017-135251,77095,Avery,Avery Hole Reinforcements,-$10,5,Central,$6,Corporate,8/10/2017,Standard Class,Texas,Binders
-160%,Office Supplies,Huntsville,United States,Craig Molinari,80%,1,10/10/2016,CA-2016-103492,77340,GBC,GBC Personal VeloBind Strips,-$19,5,Central,$12,Corporate,10/15/2016,Standard Class,Texas,Binders
-245%,Office Supplies,Chicago,United States,Erin Ashbrook,80%,1,2/16/2018,CA-2018-168956,60623,Honeywell,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,-$226,6,Central,$92,Corporate,2/20/2018,Standard Class,Illinois,Appliances
-150%,Office Supplies,Austin,United States,Cynthia Voltz,80%,1,5/9/2018,US-2018-144057,78745,GBC,GBC VeloBind Cover Sets,-$28,6,Central,$19,Corporate,5/13/2018,Standard Class,Texas,Binders
-150%,Office Supplies,Chicago,United States,Michael Kennedy,80%,1,6/16/2019,US-2019-132206,60653,Storex,Storex DuraTech Recycled Plastic Frosted Binders,-$9,7,Central,$6,Corporate,6/21/2019,Standard Class,Illinois,Binders
-160%,Office Supplies,Bryan,United States,Muhammed Yedwab,80%,1,3/15/2018,CA-2018-149272,77803,GBC,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",-$36,7,Central,$22,Corporate,3/19/2018,Standard Class,Texas,Binders
-165%,Office Supplies,Dallas,United States,Stewart Carmichael,80%,1,3/2/2019,CA-2019-146024,75081,Wilson Jones,Wilson Jones Leather-Like Binders with DublLock Round Rings,-$20,7,Central,$12,Corporate,3/8/2019,Standard Class,Texas,Binders
-155%,Office Supplies,Mcallen,United States,Susan Gilcrest,80%,1,5/18/2019,CA-2019-112536,78501,Acco,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",-$11,7,Central,$7,Corporate,5/23/2019,Standard Class,Texas,Binders
-150%,Office Supplies,Missouri City,United States,Michelle Lonsdale,80%,1,6/4/2019,CA-2019-158953,77489,Other,Presstex Flexible Ring Binders,-$10,7,Central,$6,Corporate,6/8/2019,Standard Class,Texas,Binders
-165%,Office Supplies,Pearland,United States,Sally Hughsby,80%,1,9/22/2019,US-2019-108245,77581,Other,Insertable Tab Post Binder Dividers,-$19,7,Central,$11,Corporate,9/27/2019,Standard Class,Texas,Binders
-160%,Office Supplies,San Antonio,United States,Barry Blumstein,80%,1,11/2/2017,CA-2017-141810,78207,GBC,GBC Premium Transparent Covers with Diagonal Lined Pattern,-$47,7,Central,$29,Corporate,11/7/2017,Standard Class,Texas,Binders
-260%,Office Supplies,Houston,United States,Heather Kirkland,80%,1,3/26/2019,US-2019-141677,77070,Belkin,Belkin 5 Outlet SurgeMaster Power Centers,-$227,8,Central,$87,Corporate,3/30/2019,Standard Class,Texas,Appliances
-150%,Office Supplies,Chicago,United States,Sibella Parks,80%,1,4/21/2018,US-2018-103646,60623,Other,"Performers Binder/Pad Holder, Black",-$67,8,Central,$45,Corporate,4/26/2018,Standard Class,Illinois,Binders
-160%,Office Supplies,San Antonio,United States,Katrina Edelman,80%,1,6/1/2017,US-2017-163685,78207,Avery,Avery Poly Binder Pockets,-$9,8,Central,$6,Corporate,6/5/2017,Standard Class,Texas,Binders
-155%,Office Supplies,Dallas,United States,Linda Southworth,80%,1,7/5/2019,CA-2019-100223,75220,Cardinal,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",-$18,9,Central,$11,Corporate,7/10/2019,Standard Class,Texas,Binders
-170%,Office Supplies,Fort Worth,United States,Dorothy Badders,80%,1,5/6/2019,US-2019-133200,76106,Avery,Avery Durable Poly Binders,-$19,10,Central,$11,Corporate,5/11/2019,Standard Class,Texas,Binders
28%,Office Supplies,Vineland,United States,Brenda Bowman,0%,1,12/26/2018,CA-2018-155166,08360,Fellowes,Fellowes Advanced Computer Series Surge Protectors,$7,1,East,$26,Corporate,1/2/2019,Standard Class,New Jersey,Appliances
29%,Office Supplies,New York City,United States,Ann Chong,0%,1,9/2/2019,CA-2019-157987,10009,Fellowes,Fellowes Basic Home/Office Series Surge Protectors,$4,1,East,$13,Corporate,9/6/2019,Standard Class,New York,Appliances
25%,Office Supplies,New York City,United States,Brendan Sweed,0%,1,9/6/2017,US-2017-109015,10011,Other,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,$2,1,East,$8,Corporate,9/12/2017,Standard Class,New York,Appliances
48%,Office Supplies,Bristol,United States,Christine Abelman,0%,1,7/19/2016,US-2016-150434,06010,Acco,Acco Hanging Data Binders,$2,1,East,$4,Corporate,7/24/2016,Standard Class,Connecticut,Binders
47%,Office Supplies,Lawrence,United States,Jennifer Braxton,0%,1,8/19/2019,CA-2019-132339,01841,Fellowes,Fellowes PB300 Plastic Comb Binding Machine,$182,1,East,$388,Corporate,8/23/2019,Standard Class,Massachusetts,Binders
48%,Office Supplies,Baltimore,United States,Muhammed Yedwab,0%,1,4/28/2016,CA-2016-118976,21215,Avery,Avery 488,$2,1,East,$3,Corporate,5/3/2016,Standard Class,Maryland,Labels
48%,Office Supplies,Lawrence,United States,Jane Waco,0%,1,4/30/2017,US-2017-115238,01841,Other,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),$3,1,East,$6,Corporate,5/4/2017,Standard Class,Massachusetts,Paper
48%,Office Supplies,Perth Amboy,United States,Matt Collister,0%,1,7/17/2018,CA-2018-131835,08861,Other,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",$27,1,East,$55,Corporate,7/21/2018,Standard Class,New Jersey,Paper
49%,Office Supplies,New York City,United States,Muhammed MacIntyre,0%,1,10/6/2019,CA-2019-109099,10009,Xerox,Xerox 1893,$20,1,East,$41,Corporate,10/11/2019,Standard Class,New York,Paper
49%,Office Supplies,New York City,United States,Todd Sumrall,0%,1,11/24/2019,CA-2019-166436,10035,Adams,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",$3,1,East,$6,Corporate,11/28/2019,Standard Class,New York,Paper
48%,Office Supplies,Rochester,United States,Dean Katz,0%,1,12/20/2019,CA-2019-105480,14609,Xerox,Xerox 227,$3,1,East,$6,Corporate,12/26/2019,Standard Class,New York,Paper
27%,Office Supplies,New York City,United States,Cindy Schnelling,0%,1,4/18/2018,CA-2018-144785,10009,Acme,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",$2,1,East,$7,Corporate,4/23/2018,Standard Class,New York,Supplies
27%,Office Supplies,Bangor,United States,Marina Lichtenstein,0%,1,8/4/2016,CA-2016-134215,04401,Eureka,Eureka The Boss Cordless Rechargeable Stick Vac,$28,2,East,$102,Corporate,8/8/2016,Standard Class,Maine,Appliances
28%,Office Supplies,Columbia,United States,Maureen Fritzler,0%,1,7/22/2018,CA-2018-114307,21044,Belkin,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,$11,2,East,$38,Corporate,7/26/2018,Standard Class,Maryland,Appliances
26%,Office Supplies,Revere,United States,Edward Hooks,0%,1,9/10/2017,US-2017-147242,02151,Euro Pro,Euro-Pro Shark Turbo Vacuum,$16,2,East,$62,Corporate,9/14/2017,Standard Class,Massachusetts,Appliances
29%,Office Supplies,Orange,United States,Deirdre Greer,0%,1,11/1/2016,CA-2016-139423,07050,Fellowes,Fellowes Superior 10 Outlet Split Surge Protector,$22,2,East,$76,Corporate,11/5/2016,Standard Class,New Jersey,Appliances
28%,Office Supplies,Perth Amboy,United States,Matt Collister,0%,1,7/17/2018,CA-2018-131835,08861,Kensington,Kensington 4 Outlet MasterPiece Compact Power Control Center,$46,2,East,$163,Corporate,7/21/2018,Standard Class,New Jersey,Appliances
25%,Office Supplies,Long Beach,United States,Stefania Perrino,0%,1,9/8/2016,CA-2016-123127,11561,Other,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,$4,2,East,$17,Corporate,9/12/2016,Standard Class,New York,Appliances
28%,Office Supplies,Baltimore,United States,Muhammed Yedwab,0%,1,4/28/2016,CA-2016-118976,21215,Other,Blackstonian Pencils,$1,2,East,$5,Corporate,5/3/2016,Standard Class,Maryland,Art
30%,Office Supplies,Lawrence,United States,Scott Cohen,0%,1,1/17/2017,CA-2017-152681,01841,Avery,Avery Fluorescent Highlighter Four-Color Set,$2,2,East,$7,Corporate,1/22/2017,Standard Class,Massachusetts,Art
28%,Office Supplies,New York City,United States,Ann Chong,0%,1,9/2/2019,CA-2019-157987,10009,Newell,Newell 324,$6,2,East,$23,Corporate,9/6/2019,Standard Class,New York,Art
46%,Office Supplies,Bristol,United States,Christine Abelman,0%,1,7/19/2016,US-2016-150434,06010,Avery,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",$10,2,East,$21,Corporate,7/24/2016,Standard Class,Connecticut,Binders
47%,Office Supplies,Waterbury,United States,Christine Phan,0%,1,6/17/2018,CA-2018-133613,06708,Ibico,Ibico Presentation Index for Binding Systems,$4,2,East,$8,Corporate,6/22/2018,Standard Class,Connecticut,Binders
45%,Office Supplies,Baltimore,United States,Muhammed Yedwab,0%,1,4/28/2016,CA-2016-118976,21215,Acco,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",$9,2,East,$21,Corporate,5/3/2016,Standard Class,Maryland,Binders
49%,Office Supplies,Revere,United States,Katharine Harms,0%,1,4/1/2016,CA-2016-138359,02151,Other,Zipper Ring Binder Pockets,$3,2,East,$6,Corporate,4/6/2016,Standard Class,Massachusetts,Binders
47%,Office Supplies,Morristown,United States,Grace Kelly,0%,1,12/18/2018,CA-2018-101546,07960,GBC,GBC DocuBind TL300 Electric Binding System,$843,2,East,"$1,794",Corporate,12/24/2018,Standard Class,New Jersey,Binders
47%,Office Supplies,New York City,United States,Brooke Gillingham,0%,1,1/5/2017,CA-2017-108588,10009,Other,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",$8,2,East,$17,Corporate,1/10/2017,Standard Class,New York,Envelopes
45%,Office Supplies,New York City,United States,Deirdre Greer,0%,1,11/28/2019,CA-2019-123372,10035,Other,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",$36,2,East,$80,Corporate,12/2/2019,Standard Class,New York,Envelopes
46%,Office Supplies,Wilmington,United States,Georgia Rosenberg,0%,1,11/19/2016,US-2016-123183,19805,Avery,Avery 499,$5,2,East,$10,Corporate,11/25/2016,Standard Class,Delaware,Labels
48%,Office Supplies,New York City,United States,Don Jones,0%,1,2/11/2019,US-2019-118535,10024,Avery,Avery 473,$10,2,East,$21,Corporate,2/15/2019,Standard Class,New York,Labels
48%,Office Supplies,New York City,United States,Thomas Boland,0%,1,4/1/2018,CA-2018-161473,10035,Avery,Avery 473,$10,2,East,$21,Corporate,4/5/2018,Standard Class,New York,Labels
46%,Office Supplies,Franklin,United States,Claudia Bergmann,0%,1,7/9/2017,CA-2017-111094,02038,TOPS,Tops Wirebound Message Log Books,$3,2,East,$7,Corporate,7/13/2017,Standard Class,Massachusetts,Paper
48%,Office Supplies,New York City,United States,Anthony Rawles,0%,1,7/20/2019,US-2019-108343,10009,Xerox,Xerox 1977,$6,2,East,$13,Corporate,7/25/2019,Standard Class,New York,Paper
46%,Office Supplies,New York City,United States,Edward Hooks,0%,1,5/2/2018,CA-2018-158155,10009,Southworth,Southworth Parchment Paper & Envelopes,$6,2,East,$13,Corporate,5/6/2018,Standard Class,New York,Paper
49%,Office Supplies,New York City,United States,Pauline Webber,0%,1,10/14/2018,CA-2018-113607,10009,Xerox,Xerox 1908,$55,2,East,$112,Corporate,10/18/2018,Standard Class,New York,Paper
48%,Office Supplies,New York City,United States,Bart Watters,0%,1,10/13/2018,CA-2018-101161,10024,Other,Computer Printout Paper with Letter-Trim Perforations,$18,2,East,$38,Corporate,10/20/2018,Standard Class,New York,Paper
49%,Office Supplies,Rochester,United States,Julie Creighton,0%,1,10/23/2019,CA-2019-139913,14609,Xerox,Xerox 1969,$6,2,East,$12,Corporate,10/29/2019,Standard Class,New York,Paper
48%,Office Supplies,Providence,United States,Thea Hudgings,0%,1,7/8/2018,CA-2018-152520,02908,Xerox,Xerox 213,$6,2,East,$13,Corporate,7/12/2018,Standard Class,Rhode Island,Paper
19%,Office Supplies,Clinton,United States,Ken Heidel,0%,1,9/18/2017,CA-2017-109575,20735,Acco,Acco Perma 3000 Stacking Storage Drawers,$8,2,East,$42,Corporate,9/23/2017,Standard Class,Maryland,Storage
0%,Office Supplies,Lakewood,United States,Theresa Coyne,0%,1,9/15/2019,CA-2019-124205,08701,Other,"Contico 72""H Heavy-Duty Storage System",$0,2,East,$82,Corporate,9/19/2019,Standard Class,New Jersey,Storage
28%,Office Supplies,New York City,United States,Cyma Kinney,0%,1,11/13/2018,CA-2018-101336,10011,Eldon,Eldon Simplefile Box Office,$7,2,East,$25,Corporate,11/18/2018,Standard Class,New York,Storage
5%,Office Supplies,New York City,United States,Jim Sink,0%,1,6/19/2019,CA-2019-169999,10035,Space Solutions,Space Solutions Commercial Steel Shelving,$6,2,East,$129,Corporate,6/26/2019,Standard Class,New York,Storage
26%,Office Supplies,Long Beach,United States,Grant Thornton,0%,1,6/6/2016,CA-2016-159520,11561,Acme,Acme Office Executive Series Stainless Steel Trimmers,$4,2,East,$17,Corporate,6/11/2016,Standard Class,New York,Supplies
29%,Office Supplies,Laurel,United States,Michael Dominguez,0%,1,5/28/2019,CA-2019-100055,20707,Fellowes,Fellowes 8 Outlet Superior Workstation Surge Protector,$36,3,East,$125,Corporate,6/1/2019,Standard Class,Maryland,Appliances
26%,Office Supplies,Bridgeton,United States,Jim Mitchum,0%,1,10/29/2018,CA-2018-112389,08302,Other,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",$3,3,East,$12,Corporate,11/2/2018,Standard Class,New Jersey,Appliances
28%,Office Supplies,New York City,United States,Tiffany House,0%,1,12/23/2016,CA-2016-114517,10024,Belkin,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,$16,3,East,$57,Corporate,12/27/2016,Standard Class,New York,Appliances
27%,Office Supplies,New York City,United States,Tim Taslimi,0%,1,10/2/2018,CA-2018-134376,10024,Kensington,Kensington 6 Outlet Guardian Standard Surge Protector,$17,3,East,$61,Corporate,10/6/2018,Standard Class,New York,Appliances
27%,Office Supplies,Watertown,United States,Brooke Gillingham,0%,1,5/11/2016,CA-2016-127523,13601,Staple holder,Staple holder,$10,3,East,$36,Corporate,5/18/2016,Standard Class,New York,Appliances
29%,Office Supplies,Waterbury,United States,Christine Phan,0%,1,6/17/2018,CA-2018-133613,06708,Newell,Newell 35,$3,3,East,$10,Corporate,6/22/2018,Standard Class,Connecticut,Art
26%,Office Supplies,Newark,United States,Dorothy Badders,0%,1,3/2/2019,CA-2019-104885,19711,Newell,Newell 34,$15,3,East,$60,Corporate,3/8/2019,Standard Class,Delaware,Art
45%,Office Supplies,New York City,United States,Ann Chong,0%,1,9/2/2019,CA-2019-157987,10009,BIC,BIC Brite Liner Grip Highlighters,$2,3,East,$5,Corporate,9/6/2019,Standard Class,New York,Art
26%,Office Supplies,New York City,United States,Brooke Gillingham,0%,1,1/5/2017,CA-2017-108588,10009,Newell,Newell 34,$15,3,East,$60,Corporate,1/10/2017,Standard Class,New York,Art
29%,Office Supplies,New York City,United States,Cindy Schnelling,0%,1,4/18/2018,CA-2018-144785,10009,Other,American Pencil,$2,3,East,$7,Corporate,4/23/2018,Standard Class,New York,Art
36%,Office Supplies,New York City,United States,Todd Boyes,0%,1,11/22/2018,CA-2018-154711,10009,BIC,BIC Liqua Brite Liner,$7,3,East,$21,Corporate,11/26/2018,Standard Class,New York,Art
27%,Office Supplies,New York City,United States,Edward Becker,0%,1,11/11/2018,CA-2018-145548,10011,Boston,"Boston School Pro Electric Pencil Sharpener, 1670",$25,3,East,$93,Corporate,11/16/2018,Standard Class,New York,Art
